model,balanced_accuracy_V1_V2,balanced_accuracy_V1_V3,delta_balanced_accuracy,roc_auc_V1_V2,roc_auc_V1_V3,delta_roc_auc
Logistic Regression,0.848459078731311,0.8621130412237491,0.01365396249243811,0.9069636735516953,0.9160303056491804,0.00906663209748515
LDA Shrinkage,0.7943012704174228,0.8051084608071903,0.010807190389767518,0.9087563736928528,0.9212747385705644,0.01251836487771163
Linear SVM,0.8403586552588369,0.8453314320283468,0.004972776769509912,0.9005078788926338,0.9049814190649037,0.004473540172269863
Random Forest,0.7390579898020914,0.7407821277331259,0.0017241379310345417,0.8770593149540519,0.882254774868205,0.0051954599141531554
Dummy Classifier,0.5,0.5,0.0,0.5,0.5,0.0
Ridge Classifier,0.8415461066459251,0.8389603318641431,-0.002585774781782013,0.9060029383804338,0.918342983896523,0.012340045516089249
Extra Trees,0.7541457091003371,0.7420603232218477,-0.012085385878489396,0.8920430386310605,0.8914774003975456,-0.0005656382335148535
Gaussian NB,0.786433324691038,0.7730351741422522,-0.013398150548785792,0.8733534986892518,0.8539966295047965,-0.01935686918445534
Gradient Boosting,0.8001659320715582,0.7850479647394348,-0.015117967332123339,0.894410451415896,0.8826739261947975,-0.011736525221098582
RBF SVM,0.8268230922132919,0.7849943825079941,-0.04182870970529773,0.8927750410509031,0.8931132428773083,0.00033820182640520446
KNN,0.76700285195748,0.7114691902169216,-0.055533661740558404,0.8526484314233862,0.8513013856480282,-0.0013470457753580467
